step,timestamp,server_id,utilization,t_in,t_out,t_chip,power,fan_speed
1,1774114064.137691,0,0.5767239888529435,22.0,31.178520987572973,33.473151234466215,6971.480987572969,0.3
2,1774114064.144403,0,0.5239857887016706,22.0,36.78551906994795,40.48189883743494,6344.951169775846,0.3520361683320941
3,1774114064.159206,0,0.5906057572020582,22.91975253460061,42.97626872223022,47.99039776913762,7136.396395560451,0.4846110560079879
4,1774114064.170778,0,0.664734237950424,24.79565067826025,49.87660496492796,56.14684353659488,8017.042746851037,0.6248955740547548
5,1774114064.176731,0,0.5177304765744378,27.110851715324728,54.742688240101074,61.650647371295165,6270.638061704321,0.7159848782597618
6,1774114064.346298,0,0.5183312457725096,28.75295859199261,59.23290547292733,66.85289219316101,6277.775199777413,0.8128413366626133
7,1774114064.351625,0,0.6712517168913875,31.294169038956575,65.54848088571137,74.11205884740008,8094.470396669683,0.9567204687215947
8,1774114064.356003,0,0.6036610880890964,34.101747611864,70.82802710812165,80.00959698218605,7291.493726498465,1.0
9,1774114064.360541,0,0.5003590332196144,37.01921937849347,74.71064568862705,84.13350226616045,6064.265314649019,1.0
10,1774114064.365501,0,0.5859677566131017,39.876907580057896,79.51689610729348,89.42689323910237,7081.296948563649,1.0
11,1774114064.434787,0,0.5020629188025628,42.7858824611432,83.18324874564665,93.28259031677251,6084.507475374447,1.0
12,1774114064.438853,0,0.5024653987503289,45.61418605326029,86.77216663899486,97.06166178542851,6089.288937153908,1.0
13,1774114064.443712,0,0.5625075632488821,48.36742148552499,90.99339004075475,101.64988217956217,6802.589851396719,1.0
14,1774114064.447812,0,0.38206250800592667,51.127472220259754,92.95470137422977,103.41150866272227,4658.902595110409,1.0
15,1774114064.451897,0,0.39847948894755947,53.64786727657064,95.11191930023168,105.47793230614694,4853.9363286970065,1.0
16,1774114064.520281,0,0.49673413549217427,55.99034600605213,98.41857502495291,109.0256322796781,6021.20152964703,1.0
17,1774114064.52509,0,0.4594812782887632,58.31008950855328,101.1991376004849,111.9213996234678,5578.637586070507,1.0
18,1774114064.529139,0,0.5715477168820228,60.554112707335406,105.25398522235412,116.4289533511088,6909.986876558431,1.0
19,1774114064.533085,0,0.4694677520617677,62.87414435788454,107.97062313251357,119.24474282617082,5697.276894493801,1.0
20,1774114064.537842,0,0.42769802278642555,65.11238580971111,110.13753073028293,121.39381696042588,5201.052510702735,1.0
21,1774114064.609355,0,0.6700346564371142,67.2230874505283,115.15542145484267,127.13850495592126,8080.011718472917,1.0
22,1774114064.613723,0,0.528542384749897,69.5381415011562,118.31266041838654,130.50629014769413,6399.083530828776,1.0
23,1774114064.618364,0,0.5537661465786378,71.82152692061058,121.69347535286562,134.16146246092939,6698.741821354217,1.0
24,1774114064.62222,0,0.428999803770181,74.10330385868515,123.50340764797394,135.85343359529614,5216.51766878975,1.0
25,1774114064.62624,0,0.5035340087255128,76.21325855827426,126.1913265531696,138.68584355189344,6101.984023659092,1.0
26,1774114064.698978,0,0.5591617350909002,78.2759521264785,129.48114246320765,142.28244004738994,6762.841412879894,1.0
27,1774114064.703533,0,0.45374137261005587,80.36515475668892,131.4269107059593,144.1923496932769,5510.447506607464,1.0
28,1774114064.708082,0,0.5825625197423663,82.33060840466422,134.8818969704101,148.01971911184657,7040.842734539311,1.0
29,1774114064.712504,0,0.5011276889606672,84.3575237638058,137.26592458230516,150.49302478693,6073.396944852726,1.0
30,1774114064.716427,0,0.5276548585236549,86.31952426011223,139.91922484694254,153.31914999365011,6388.53971926102,0.3
31,1774114064.784501,0,0.502187856972411,88.25709552241901,142.20793949664656,155.69565049020343,6085.991740832243,0.3
32,1774114064.789126,0,0.7088948856853573,90.13500215001191,146.90833116286606,161.1016634160796,8541.671241942046,0.3
33,1774114064.793829,0,0.5527402267589806,92.22596454919102,149.58299258548027,163.9222495945526,6686.553893896689,0.3
34,1774114064.798157,0,0.46559486367139646,94.27448301142606,151.16421891171677,165.38665288678945,5651.26698041619,0.3
35,1774114064.802971,0,0.6241029981451167,96.16902966273938,154.62539433417254,169.23948550203082,7534.343617963987,0.3
36,1774114064.871635,0,0.4530230018497612,98.14016235793741,155.94842567055923,170.40049149871467,5501.913261975163,0.3
37,1774114064.875912,0,0.5736809959769049,99.94283634103819,158.71245431964326,173.40485881429453,6935.330232205631,0.3
38,1774114064.880024,0,0.3920846355119966,101.76223277537738,159.2462453695705,173.61724851811874,4777.96546988252,0.3
39,1774114064.884684,0,0.4456876000573108,103.35321517461918,160.4598279134458,174.73648109815244,5414.768688680852,0.3
